asset,name,px
NAS0165,AppFolio,16.3
NAS0166,Digital Turbine,2.43
NAS0167,Venaxis,0.4
NAS0168,Apricus Biosciences,1.35
NAS0169,Aptose Biosciences,5.28
NAS0170,Asia Pacific Wire&Cable,1.92
NAS0171,Aqua Metals,5.2
NAS0172,Aquinox Pharmaceuticals,17.24
NAS0173,Accuray,6.77
NAS0174,ArcBest,29.04
NAS0175,Appliance Recycling Centers of America,1.24
NAS0176,ARC Group Worldwide,3.63
NAS0177,Aradigm,6.99
NAS0178,Ardelyx,18.75
NAS0179,Approach Resources,2.17
NAS0180,Argos Therapeutics,6.16
NAS0181,Ariad Pharmaceuticals,9.89
NAS0182,American Railcar Industries,40.76
NAS0183,ARI Network Services,3.54
NAS0184,ARK Restaurants,24.54
NAS0185,Alliance Resource Partners,25.32
NAS0186,ARM Holdings ADS,42.62
NAS0187,Arena Pharmaceuticals,2.71
NAS0188,Arrow Financial,27.26
NAS0189,ArQule,1.76
NAS0190,Arris Group,26.82
NAS0191,Array BioPharma,5.94
NAS0192,Artesian Resources Cl A,22.24
NAS0193,Art's Way Manufacturing,4.27
NAS0194,Arotech,1.45
NAS0195,Arrowhead Research,5.77
NAS0196,ASB Bancorp,24.2
NAS0197,Ameriana Bancorp,22.64
NAS0198,Ascent Capital Group Series A,27.4
NAS0199,American Science&Engineering,39.03
NAS0200,Asta Funding,8.9
NAS0201,Assembly Biosciences,13.33
NAS0202,ASML Holding,91.98
NAS0203,Ascena Retail Group,12
NAS0204,Ascendis Pharma ADR,19.17
NAS0205,Altisource Portfolio Solutions,25.48
NAS0206,AmeriServ Financial,3.22
NAS0207,Astrotech,2.15
NAS0208,Astec Industries,37.12
NAS0209,Ascent Solar Technologies,0.11
NAS0210,Asure Software,5.9
NAS0211,Amtech Systems,5.39
NAS0212,ATA ADR,2.49
NAS0213,America First Multifamily Investors,5.27
NAS0214,Alphatec Holdings,0.54
NAS0215,athenahealth,135.77
NAS0216,Athersys,1.15
NAS0217,Atlanticus Holdings,3.82
NAS0218,Ames National,23.59
NAS0219,Atmel,8.21
NAS0220,Atlantic Tele-Network,71.89
NAS0221,API Technologies,2.26
NAS0222,Atossa Genetics,0.77
NAS0223,Atara Biotherapeutics,40.22
NAS0224,AtriCure,25.5
NAS0225,Atrion,390.57
NAS0226,ATRM Holdings,2.85
NAS0227,Astronics,52.84
NAS0228,Antares Pharma,1.79
NAS0229,Air Transport Services Group,8.95
NAS0230,Attunity,13
NAS0231,Activision Blizzard,29.22
NAS0232,Auburn National Bancorp,26.68
NAS0233,AudioCodes,3.34
NAS0234,AR Capital Acquisition,9.89
NAS0235,Aurinia Pharmaceuticals,3.03
NAS0236,AeroVironment,24.08
NAS0237,AVEO Pharmaceuticals,1.42
NAS0238,Avago Technologies,127.62
NAS0239,Avinger,14.96
NAS0240,AV Homes,13.96
NAS0241,Avid Technology,8.51
NAS0242,Avenue Financial Holdings,12.35
NAS0243,Aviat Networks,1.13
NAS0244,HomeAway,29.19
NAS0245,Aware,3.18
NAS0246,Abraxas Petroleum,1.92
NAS0247,Accelerate Diagnostics,19.1
NAS0248,AxoGen,4.88
NAS0249,Axion Power International,1.06
NAS0250,AXT,2.2
NAS0251,Amaya,20.7
NAS0252,Aspen Technology,37.9
NAS0253,Natus Medical,41.4
NAS0254,Diversified Restaurant Holdings,2.78
